Id,Designator,Quantity, ,MFG Part #,Description/Value,Package,Type,Designation,Your Instructions
1,"R2,R1,R13",3,ANY,ANY,RES 0 ohm 1/8W 0805 SMD,R_0805_2012Metric,SMD,0,
2,X1,1,ANY,ANY,,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm_HandSoldering,SMD,SG-5032CAN,DNP
3,"C6,C4,C29",3,ANY,ANY,CAP CER 10uF >=16V X7R 1206,C_1206_3216Metric,SMD,10u,
4,"U5,U4",2,ANY,ANY,,SOIC-14_3.9x8.7mm_P1.27mm,SMD,OPA4197xPW,DNP
5,"C19,C17,C18",3,ANY,ANY,,C_0805_2012Metric,SMD,1u,DNP
6,"R43,R42,R39",3,ANY,ANY,RES 1k ohm 1/8W 1% 0805 SMD,R_0805_2012Metric,SMD,1k,
7,"C15,C32,C31,C26,C25,C16,C12,C8",8,ANY,ANY,CAP CER 0.1uF >=16V X7R 0805,C_0805_2012Metric,SMD,0.1u,
8,"R41,R30",2,ANY,ANY,RES 4.99k ohm 1/8W 1% 0805 SMD,R_0805_2012Metric,SMD,4.99k,
9,"R27,R22",2,ANY,ANY,RES 10k ohm 1/8W 1% 0805 SMD,R_0805_2012Metric,SMD,10k,
10,"R25,R24,R21,R20",4,ANY,ANY,RES 3.9k ohm 1/8W 1% 0805 SMD,R_0805_2012Metric,SMD,3.9k,
11,"R17,R11",2,ANY,ANY,RES 100k ohm 1/8W 1% 0805 SMD,R_0805_2012Metric,SMD,100k,
12,"R15,R14,R10,R8",4,ANY,ANY,RES 3k ohm 1/8W 1% 0805 SMD,R_0805_2012Metric,SMD,3k,
13,"C13,C9",2,ANY,ANY,CAP CER 0.22uF 5% >=10V X7R 0805,C_0805_2012Metric,SMD,.22u,
14,"C10,C7",2,ANY,ANY,CAP CER 3.3uF 5% >=10V X7R 0805,C_0805_2012Metric,SMD,3.3u,
15,J2,1,ANY,ANY,,PinHeader_1x04_P1.27mm_Vertical,SMD,Conn_01x04_Male,DNP
16,FB1,1,ANY,ANY,,R_0805_2012Metric,SMD,Ferrite_Bead_Small,DNP
17,"R9,R32,R33,R40",4,ANY,ANY,RES 100 ohm 1/8W 1% 0805 SMD,R_0805_2012Metric,SMD,100,
18,J4,1,ANY,ANY,,PinSocket_2x05_P2.54mm_Vertical,SMD,Conn_02x05_Odd_Even,DNP
19,"D2,D1",2,ANY,ANY,,LED_0805_2012Metric,SMD,LED,DNP
20,J1,1,ANY,ANY,,"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",SMD,Screw_Terminal_01x02,DNP
21,"C35,C34",2,ANY,ANY,CAP CER 0.47uF >=16V X7R 0805,C_0805_2012Metric,SMD,0.47u,
22,C33,1,ANY,ANY,CAP CER 4.7uF >=16V X7R 0805,C_0805_2012Metric,SMD,4.7u,
23,C30,1,ANY,ANY,CAP CER 0.01uF >=16V X7R 0805,C_0805_2012Metric,SMD,0.01u,
24,"C27,C2",2,ANY,ANY,CAP CER 1nF >=16V X7R 0805,C_0805_2012Metric,SMD,1n,
25,Y1,1,ANY,ANY,,Crystal_SMD_3215-2Pin_3.2x1.5mm,SMD,Crystal_Small,DNP
26,U9,1,ANY,ANY,,SOIC-14_3.9x8.7mm_P1.27mm,SMD,ATSAMD09C13A-SS,DNP
27,U10,1,ANY,ANY,,DFN-1010-4,SMD,AP7340,DNP
28,U3,1,ANY,ANY,,SOT-23-6,SMD,MAX6070,DNP
29,R3,1,ANY,ANY,RES 3.5 ohm >1/8W 1% 1206 SMD,R_1206_3216Metric,SMD,3.5,
30,U8,1,ANY,ANY,,QSOP-16,SMD,MAX11200,DNP
