Item #,Designator,Quantity,Manufacturer,Mfg Part #,Digikey Part #,Description/Value,Package,Type,Instructions/Notes
1,"C10,C29,C28,C21,C7,C6",6,ANY,,,10 µF ±10% 6.3V Ceramic Capacitor X7R 1206,C_1206_3216Metric,SMD,
2,"C11,C3",2,ANY,,,3.3 µF ±5% >=6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
3,"C14,C5",2,ANY,,,0.22 µF ±5% >=6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
4,"C15, C30",1,ANY,,,10 nF ±10% >=6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
5,"C18,C19,C40,C39,C38,C37,C36",7,ANY,,,1 uF ±10% >=6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
6,"C2,C27,C4",3,ANY,,,1nF ±10% >=6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
7,"C22,C20",2,ANY,,,DNP,C_0805_2012Metric,SMD,DNP
8,"C24,C23",2,ANY,,,DNP,C_0805_2012Metric,SMD,DNP
9,"C31,C9,C8,C12,C16,C17,C13,C32,C26,C25,C1",11,ANY,,,0.1 µF ±10% >=6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
10,C33,1,ANY,,,4.7 µF ±10% 6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
11,"C35,C34",2,ANY,,,0.47 µF ±10% 6.3V Ceramic Capacitor X7R 0805,C_0805_2012Metric,SMD,
12,"D2,D1",2,OSRAM Opto Semiconductors Inc.,LO R976-PS-1,475-2488-2-ND,LED ORANGE DIFFUSED 0805 SMD,LED_0805_2012Metric,SMD,
13,J1,1,ANY (like Molex),393570002,WM7877-ND, TERM BLK 2POS SIDE ENT 3.5MM PCB,1x02_P3.50mm_Vertical,Thru-Hole,Any 2-pin 2.54mm screw terminal block will work
14,J2,1,ANY (like Oupiin),2044-2X20G00SA,2553-2044-2X20G00SA-ND,"FEMALE PCB SOCKET, DOUBLE ROW, 40 PIN,",PinHeader_2x20_P2.54mm_Vertical,Thru-Hole,DNP
15,J3,1,ANY (like Sullins Connector Solutions),PRPC006SBBN-M71RC, S1121EC-06-ND,CONN HEADER R/A 6POS 2.54MM,PinHeader_1x06_P2.54mm_Horizontal,Thru-Hole,
16,"JP1,JP2",2,ANY (like Sullins Connector Solutions),PRPC002SAAN-RC,S1011EC-02-ND,CONN HEADER VERT 2POS 2.54MM-SPACING 5.65MM-CONTACT-LENGTH,PinHeader_1x02_P2.54mm_Vertical,Thru-Hole,
17,"JP3,JP5,JP4",3,ANY (like Sullins Connector Solutions),PRPC003SAAN-RC,S1011EC-03-ND,CONN HEADER VERT 3POS 2.54MM-SPACING 5.65MM-CONTACT-LENGTH,PinHeader_1x03_P2.54mm_Vertical,Thru-Hole,
18,"R12,R11",2,ANY,,,32.8 kOhms ±0.5% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
19,"R13,R10",2,ANY,,,0 Ohms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
20,"R15,R8",2,ANY,,,21 Ohms ±1% >=1/2 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
21,R17,1,ANY,,,99 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
22,"R18,R16,R6,R4",4,ANY,,,3.9 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
23,"R19,R7",2,ANY,,,10 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
24,R20,1,ANY,,,5 Ohms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
25,R21,1,ANY,,,150 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
26,R22,1,ANY,,,4 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
27,R3,1,ANY,,,3.5 Ohms ±1% >=1/2 Watt Chip Resistor 1206,R_1206_3216Metric,SMD,
28,"R31,R23",2,ANY,,,2 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
29,"R35,R28",2,ANY,,,3 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
30,"R36,R29",2,ANY,,,100 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
31,"R38,R37,R27,R25",4,ANY,,,5 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
32,"R39,R34,R26,R2,R1",5,ANY,,,1 kOhms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
33,R5,1,ANY,,,200 Ohms ±1% >=1/10 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
34,"R9,R40,R33,R32",4,ANY,,,100 Ohms ±5% >=1/4 Watt Chip Resistor 0805,R_0805_2012Metric,SMD,
35,"TP2,TP1",2,ANY,,,CONN HEADER VERT 1POS 2.54MM-SPACING 5.65MM-CONTACT-LENGTH,PinHeader_1x01_P2.54mm_Vertical,Thru-Hole,
36,U10,1,Diodes Incorporated,AP7340-33FS4-7,  AP7340-33FS4-7DITR-ND,  IC REG LINEAR 3.3V 150MA 4DFN,DFN-1010-4,SMD,
37,U3,1,Maxim Integrated,MAX6070BAUT30+ ,MAX6070BAUT30+TTR-ND,  IC VREF SERIES 0.08% SOT23-6,SOT-23-6,SMD,
38,U4,1,Maxim Integrated,MAX6126AASA30+,MAX6126AASA30+-ND,  IC VREF SERIES 0.02% 8SOIC,SOIC-8_3.9x4.9mm_P1.27mm,SMD,
39,U5,1,Analog Devices Inc.,LT6011CS8#PBF,LT6011CS8#PBF-ND,IC OPAMP GP 2 CIRCUIT 8SO,SOIC-8_3.9x4.9mm_P1.27mm,SMD,
40,"U6,U7,U1,U2",4,Texas Instruments,OPA2388IDR,296-OPA2388IDRCT-ND,Zero-Drift Amplifier 2 Circuit Rail-to-Rail 8-SOIC,SOIC-8_3.9x4.9mm_P1.27mm,SMD,
41,U8,1,Maxim Integrated,MAX11210EEE+ ,MAX11210EEE+-ND,IC ADC 24BIT SIGMA-DELTA 16QSOP,QSOP-16,SMD,
42,U9,1,Microchip Technology,ATSAMD09C13A-SSUT,  ATSAMD09C13A-SSUTTR-ND,IC MCU 32BIT 8KB FLASH 14SOIC,SOIC-14_3.9x8.7mm_P1.27mm,SMD,
43,X1,1,EPSON,SG5032CAN 2.048000M-TJGAB,  SG5032CAN2.048000M-TJGAB-ND,XTAL OSC XO 2.0480MHZ CMOS SMD,"  4-SMD, No Lead",SMD,
44,Y1,1,"Suntsu Electronics, Inc.",SWS83412D16-32.768KT,2388-SWS83412D16-32.768K-ND,CRYSTAL 32.7680KHZ 12.5PF SMD,"4-SMD, No Lead",SMD,
